customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No internet service
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes
5712-AHQNN,Female,0,No,No,43,Yes,No,Fiber optic,No
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No
5256-SKJGO,Female,0,Yes,Yes,64,No,No phone service,DSL,No
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes
9560-BBZXK,Female,0,No,No,36,No,No phone service,DSL,Yes
5299-RULOA,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes
8402-OOOHJ,Female,0,No,No,41,Yes,No,No,No internet service
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No
2928-HLDBA,Female,0,No,No,6,Yes,No,No,No internet service
0404-SWRVG,Male,0,No,No,3,Yes,Yes,Fiber optic,No
6497-TILVL,Female,0,Yes,Yes,7,Yes,No,DSL,Yes
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,No,No internet service
4622-YNKIJ,Male,0,No,No,33,Yes,No,Fiber optic,Yes
4412-YLTKF,Female,1,No,No,27,Yes,Yes,Fiber optic,No
6734-PSBAW,Male,0,Yes,No,72,Yes,Yes,No,No internet service
3930-ZGWVE,Male,0,No,No,1,Yes,No,No,No internet service
2639-UGMAZ,Male,1,No,No,71,No,No phone service,DSL,Yes
2876-GZYZC,Female,0,No,No,13,Yes,Yes,Fiber optic,No
6207-WIOLX,Female,0,Yes,Yes,25,No,No phone service,DSL,Yes
8587-XYZSF,Male,0,No,No,67,Yes,No,DSL,No
3091-FYHKI,Male,0,No,No,1,No,No phone service,DSL,No
2372-HWUHI,Male,0,No,No,2,Yes,No,DSL,No
7799-LGRDP,Female,0,No,No,43,Yes,Yes,No,No internet service
7850-VWJUU,Female,0,No,No,23,Yes,No,Fiber optic,Yes
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,No,No internet service
6217-KDYWC,Male,0,No,Yes,57,Yes,No,No,No internet service
0390-DCFDQ,Female,1,Yes,No,1,Yes,No,Fiber optic,No
3146-MSEGF,Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes
4080-OGPJL,Female,0,No,No,8,Yes,Yes,DSL,Yes
1095-WGNGG,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No
2636-SJDOU,Male,0,No,No,64,Yes,Yes,Fiber optic,Yes
1131-QQZEB,Male,1,Yes,No,71,Yes,Yes,No,No internet service
5716-EZXZN,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes
6837-BJYDQ,Male,0,No,No,3,Yes,No,No,No internet service
2135-RXIHG,Male,0,No,No,1,Yes,No,DSL,No
6440-DKQGE,Male,0,No,Yes,30,Yes,No,DSL,No
3466-BYAVD,Male,0,Yes,Yes,15,Yes,No,DSL,No
3780-YVMFA,Female,0,Yes,Yes,8,Yes,No,DSL,No
3874-EQOEP,Male,0,No,No,7,Yes,Yes,Fiber optic,No
1679-JRFBR,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes
9073-ZZIAY,Male,0,Yes,Yes,62,Yes,No,DSL,Yes
3077-RSNTJ,Female,0,Yes,Yes,6,Yes,No,No,No internet service
6551-GNYDG,Female,0,Yes,Yes,14,Yes,No,Fiber optic,No
9167-APMXZ,Female,0,No,No,22,Yes,Yes,Fiber optic,No
2749-CTKAJ,Male,0,Yes,Yes,22,Yes,No,No,No internet service
6371-NZYEG,Male,0,Yes,Yes,16,Yes,No,DSL,Yes
7554-NEWDD,Male,0,No,No,10,Yes,Yes,No,No internet service
8992-VONJD,Female,0,No,Yes,13,Yes,No,DSL,Yes
0867-MKZVY,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes
4482-EWFMI,Female,0,No,No,2,Yes,No,Fiber optic,No
4648-YPBTM,Male,0,No,No,53,Yes,Yes,DSL,No
2907-ILJBN,Female,0,Yes,Yes,11,Yes,No,No,No internet service
6345-FZOQH,Male,0,Yes,No,69,Yes,No,No,No internet service
3376-BMGFE,Female,0,No,No,4,Yes,No,Fiber optic,No
5997-OPVFA,Male,0,Yes,No,72,Yes,Yes,DSL,Yes
3445-HXXGF,Male,1,Yes,No,58,No,No phone service,DSL,No
1159-WFSGR,Female,0,Yes,Yes,16,Yes,No,No,No internet service
7654-YWJUF,Male,0,Yes,No,43,Yes,No,Fiber optic,Yes
1875-QIVME,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No
6727-IOTLZ,Male,0,Yes,No,14,Yes,No,DSL,No
0691-JVSYA,Female,0,Yes,No,53,Yes,No,Fiber optic,No
5918-VUKWP,Female,0,No,No,32,Yes,No,No,No internet service
1744-JHKYS,Female,0,Yes,No,34,Yes,Yes,No,No internet service
2656-FMOKZ,Female,1,No,No,15,Yes,Yes,Fiber optic,No
2070-FNEXE,Female,1,No,No,7,Yes,No,Fiber optic,Yes
5947-SGKCL,Female,0,Yes,Yes,15,Yes,Yes,Fiber optic,No
3712-PKXZA,Male,0,Yes,No,61,Yes,No,No,No internet service
6317-YPKDH,Female,0,No,No,1,No,No phone service,DSL,No
6582-OIVSP,Female,0,No,No,1,Yes,No,DSL,No
9367-WXLCH,Male,0,No,No,8,Yes,Yes,Fiber optic,No
5524-KHNJP,Male,0,Yes,Yes,33,Yes,No,DSL,Yes
1918-ZBFQJ,Female,0,No,No,13,Yes,No,Fiber optic,No
1024-GUALD,Female,0,Yes,No,1,No,No phone service,DSL,No
4827-USJHP,Male,0,No,No,20,Yes,No,DSL,No
8167-GJLRN,Male,0,No,No,3,No,No phone service,DSL,No
0956-SYCWG,Female,0,No,No,13,Yes,No,No,No internet service
8017-UVSZU,Female,0,Yes,No,40,Yes,Yes,DSL,No
7100-FQPRV,Male,0,Yes,Yes,43,Yes,Yes,DSL,Yes
2472-OVKUP,Male,0,Yes,No,6,Yes,No,Fiber optic,No
2984-RGEYA,Female,0,Yes,Yes,69,Yes,No,No,No internet service
9680-NIAUV,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes
2146-EGVDT,Male,0,Yes,Yes,59,Yes,No,No,No internet service
2604-IJPDU,Female,0,Yes,No,20,Yes,No,Fiber optic,Yes
9178-JHUVJ,Male,0,Yes,Yes,24,Yes,Yes,No,No internet service
6168-YBYNP,Male,0,No,No,59,Yes,Yes,Fiber optic,No
7255-SSFBC,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No
3645-DEYGF,Male,0,No,Yes,1,Yes,No,No,No internet service
9323-HGFWY,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes
8544-GOQSH,Female,0,No,No,14,Yes,No,Fiber optic,No
3363-DTIVD,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes
7018-WBJNK,Male,0,No,Yes,13,Yes,No,Fiber optic,No
9142-KZXOP,Male,0,No,No,44,Yes,No,Fiber optic,No
7674-YTAFD,Female,0,No,No,33,Yes,No,Fiber optic,No
6348-SNFUS,Male,0,Yes,Yes,72,No,No phone service,DSL,Yes
1285-OKIPP,Male,0,No,No,1,Yes,No,Fiber optic,No
7825-ECJRF,Female,0,No,No,19,Yes,No,Fiber optic,Yes
1347-KTTTA,Male,0,Yes,No,64,Yes,No,Fiber optic,No
7841-TZDMQ,Male,0,No,No,2,Yes,No,DSL,No
4195-NZGTA,Female,0,No,No,1,No,No phone service,DSL,No
7157-SMCFK,Male,0,No,Yes,61,Yes,No,No,No internet service
4709-LKHYG,Female,0,Yes,Yes,29,Yes,No,No,No internet service
2504-DSHIH,Male,1,Yes,No,23,Yes,Yes,Fiber optic,No
0699-NDKJM,Female,0,Yes,No,57,No,No phone service,DSL,Yes
9286-BHDQG,Male,0,Yes,Yes,72,No,No phone service,DSL,Yes
0230-WEQUW,Male,0,Yes,No,66,No,No phone service,DSL,Yes
2040-LDIWQ,Male,0,Yes,Yes,65,Yes,Yes,DSL,No
6496-JDSSB,Female,0,No,No,8,Yes,No,Fiber optic,No
9408-SSNVZ,Female,0,No,No,4,Yes,No,Fiber optic,No
4443-EMBNA,Female,0,Yes,No,71,Yes,Yes,No,No internet service
6469-MRVET,Male,0,Yes,Yes,1,Yes,No,No,No internet service
0742-MOABM,Male,0,Yes,No,4,Yes,No,DSL,No
5961-VUSRV,Female,0,No,No,12,Yes,No,No,No internet service
6778-JFCMK,Male,0,No,No,24,No,No phone service,DSL,Yes
6341-JVQGF,Female,0,Yes,Yes,31,Yes,No,DSL,Yes
2232-DMLXU,Female,0,Yes,No,1,Yes,No,DSL,No
4811-JBUVU,Male,0,No,No,30,Yes,Yes,Fiber optic,No
0945-TSONX,Female,0,Yes,Yes,47,Yes,Yes,DSL,Yes
2651-ZCBXV,Male,0,No,No,54,Yes,Yes,Fiber optic,Yes
3316-UWXUY,Male,0,No,No,50,Yes,No,Fiber optic,Yes
8937-RDTHP,Male,0,No,No,1,Yes,No,Fiber optic,Yes
7083-MIOPC,Female,0,No,No,72,Yes,No,No,No internet service
1984-GPTEH,Female,0,No,No,29,Yes,Yes,No,No internet service
1251-KRREG,Male,0,No,No,2,Yes,Yes,DSL,No
0621-JFHOL,Female,0,No,No,10,No,No phone service,DSL,No
9903-LYSAB,Male,0,Yes,No,18,Yes,Yes,Fiber optic,No
0094-OIFMO,Female,1,No,No,11,Yes,No,Fiber optic,No
9227-UAQFT,Male,0,No,No,16,Yes,No,No,No internet service
7301-ABVAD,Female,0,No,No,72,Yes,Yes,DSL,No
6614-FHDBO,Male,0,No,No,72,Yes,Yes,Fiber optic,No
7576-ASEJU,Female,0,Yes,Yes,41,Yes,No,DSL,Yes
9058-HRZSV,Female,1,Yes,No,65,Yes,No,Fiber optic,Yes
4522-AKYLR,Female,1,No,No,13,Yes,No,DSL,No
0221-WMXNQ,Male,1,No,No,4,Yes,No,Fiber optic,Yes
0303-UNCIP,Male,0,No,No,41,Yes,Yes,DSL,No
9947-OTFQU,Male,1,No,No,15,Yes,No,Fiber optic,No
0322-YINQP,Male,0,No,No,1,Yes,No,DSL,Yes
0959-WHOKV,Male,0,No,No,42,Yes,Yes,Fiber optic,Yes
4075-JFPGR,Female,0,Yes,No,51,Yes,No,Fiber optic,Yes
4629-NRXKX,Female,0,Yes,Yes,2,Yes,No,Fiber optic,No
9514-JDSKI,Male,1,Yes,No,1,No,No phone service,DSL,No
3282-ZISZV,Male,0,No,Yes,32,Yes,Yes,DSL,No
3675-YDUPJ,Male,0,No,No,10,Yes,No,No,No internet service
4111-BNXIF,Female,0,Yes,Yes,67,No,No phone service,DSL,No
7017-VFHAY,Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,Yes
6655-LHBYW,Male,0,No,No,50,Yes,Yes,Fiber optic,Yes
4959-JOSRX,Female,0,Yes,No,2,Yes,No,DSL,No
5046-NUHWD,Female,1,Yes,No,29,No,No phone service,DSL,Yes
7273-TEFQD,Male,1,No,No,3,No,No phone service,DSL,No
3606-TWKGI,Male,1,No,No,13,Yes,Yes,Fiber optic,No
7529-ZDFXI,Male,1,Yes,No,57,Yes,Yes,Fiber optic,No
7605-BDWDC,Female,0,No,No,31,No,No phone service,DSL,Yes
1950-KSVVJ,Female,0,Yes,No,45,Yes,Yes,Fiber optic,Yes
0123-CRBRT,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes
6292-TOSSS,Male,0,No,No,50,Yes,Yes,No,No internet service
3197-ARFOY,Female,1,No,No,19,Yes,No,Fiber optic,Yes
6323-AYBRX,Male,0,No,No,59,Yes,No,No,No internet service
7014-ZZXAW,Female,0,Yes,No,71,Yes,Yes,No,No internet service
4385-GZQXV,Female,1,No,No,16,Yes,No,Fiber optic,No
7633-MVPUY,Male,0,Yes,No,57,Yes,No,DSL,Yes
6366-ZGQGL,Male,0,No,No,1,No,No phone service,DSL,No
4716-HHKQH,Male,1,Yes,No,20,Yes,Yes,Fiber optic,No
5940-AHUHD,Male,0,No,No,1,Yes,No,Fiber optic,No
6432-TWQLB,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No
4484-GLZOU,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No
3179-GBRWV,Male,1,Yes,No,21,Yes,No,DSL,Yes
8645-KWHJO,Male,0,No,No,14,No,No phone service,DSL,No
4130-MZLCC,Female,0,No,No,5,Yes,No,DSL,No
0314-TKOSI,Female,0,No,No,6,Yes,No,DSL,Yes
8229-MYEJZ,Female,0,No,No,10,Yes,No,DSL,No
2080-SRCDE,Female,0,No,Yes,1,Yes,Yes,No,No internet service
9577-WJVCQ,Female,0,No,No,68,Yes,Yes,DSL,Yes
9512-UIBFX,Male,0,Yes,Yes,18,Yes,No,Fiber optic,No
6202-DYYFX,Female,0,No,No,22,Yes,Yes,Fiber optic,No
3808-HFKDE,Female,0,No,No,20,Yes,No,DSL,No
5583-SXDAG,Male,0,Yes,No,1,Yes,No,Fiber optic,No
3488-PGMQJ,Male,1,No,No,8,Yes,No,Fiber optic,No
3580-REOAC,Male,0,No,No,10,Yes,No,DSL,No
7534-BFESC,Male,1,No,No,24,Yes,Yes,Fiber optic,No
3727-OWVYD,Male,0,No,No,35,Yes,No,DSL,Yes
2294-SALNE,Male,0,Yes,Yes,23,Yes,No,Fiber optic,No
4847-TAJYI,Female,1,No,No,6,Yes,No,Fiber optic,No
1563-IWQEX,Female,0,No,No,12,Yes,No,No,No internet service
8203-XJZRC,Male,0,No,No,1,Yes,No,No,No internet service
6556-DBKZF,Female,0,Yes,Yes,71,Yes,No,Fiber optic,No
6851-WEFYX,Male,1,Yes,No,35,Yes,Yes,Fiber optic,No
2985-JUUBZ,Male,0,Yes,Yes,40,Yes,Yes,DSL,No
6390-DSAZX,Female,0,No,Yes,1,Yes,No,Fiber optic,Yes
0895-LMRSF,Male,0,No,No,23,Yes,No,DSL,No
8098-LLAZX,Female,1,No,No,4,Yes,Yes,Fiber optic,No
8266-VBFQL,Male,0,No,No,4,Yes,No,Fiber optic,No
8181-YHCMF,Female,0,Yes,Yes,68,No,No phone service,DSL,No
2240-HSJQD,Male,0,No,Yes,38,Yes,Yes,Fiber optic,No
1248-DYXUB,Male,0,Yes,Yes,52,Yes,Yes,No,No internet service
0265-EDXBD,Male,1,Yes,No,32,Yes,Yes,Fiber optic,No
4115-BNPJY,Male,0,Yes,Yes,29,Yes,No,DSL,No
3167-SNQPL,Male,1,Yes,Yes,38,Yes,Yes,Fiber optic,No
4091-TVOCN,Male,0,No,Yes,48,Yes,Yes,DSL,Yes
1098-TDVUQ,Female,0,No,No,1,Yes,No,No,No internet service
7277-OZCGZ,Female,0,No,No,22,Yes,No,Fiber optic,Yes
1557-EMYVT,Female,0,No,No,43,Yes,Yes,Fiber optic,Yes
2799-ARNLO,Female,1,Yes,No,5,Yes,No,Fiber optic,No
7563-BIUPC,Male,0,No,No,5,Yes,No,Fiber optic,No
5027-YOCXN,Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes
3973-SKMLN,Male,0,No,No,71,Yes,No,No,No internet service
2321-OMBXY,Female,0,Yes,Yes,38,Yes,No,DSL,Yes
2840-XANRC,Male,1,Yes,No,24,Yes,No,Fiber optic,No
6745-JEFZB,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No
5020-ZSTTY,Female,1,No,No,54,Yes,Yes,DSL,Yes
9880-TDQAC,Female,0,Yes,Yes,72,No,No phone service,DSL,No
8705-WZCYL,Male,0,No,No,1,Yes,No,DSL,No
7102-JJVTX,Female,0,Yes,Yes,9,Yes,No,DSL,Yes
8626-PTQGE,Male,0,No,No,69,No,No phone service,DSL,Yes
4983-CLMLV,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No
5701-YVSVF,Female,1,Yes,No,11,Yes,No,Fiber optic,No
5804-LEPIM,Female,1,No,No,2,Yes,No,Fiber optic,No
5697-GOMBF,Female,1,Yes,Yes,28,No,No phone service,DSL,No
2739-CACDQ,Female,1,No,No,17,Yes,Yes,Fiber optic,No
9385-EHGDO,Female,0,Yes,Yes,35,Yes,No,No,No internet service
9498-FIMXL,Female,0,No,No,8,Yes,No,No,No internet service
2379-GYFLQ,Male,0,No,No,46,Yes,Yes,Fiber optic,No
0122-OAHPZ,Female,0,No,No,7,Yes,Yes,Fiber optic,No
2868-SNELZ,Female,0,No,No,2,Yes,Yes,Fiber optic,No
4322-RCYMT,Male,0,Yes,Yes,68,Yes,Yes,DSL,No
6680-NENYN,Female,0,No,No,43,Yes,Yes,Fiber optic,No
2088-IEBAU,Female,0,No,No,68,Yes,Yes,DSL,Yes
7982-VCELR,Female,0,No,No,36,Yes,No,Fiber optic,No
1343-EHPYB,Male,0,Yes,No,63,Yes,Yes,Fiber optic,No
6035-BXTTY,Female,1,No,No,32,Yes,No,DSL,No
6885-PKOAM,Female,0,Yes,No,71,Yes,Yes,DSL,Yes
7520-HQWJU,Female,0,Yes,Yes,66,Yes,Yes,DSL,Yes
9639-BUJXT,Male,0,No,No,63,Yes,No,No,No internet service
5924-SNGKP,Female,0,No,Yes,41,Yes,No,No,No internet service
0021-IKXGC,Female,1,No,No,1,Yes,Yes,Fiber optic,No
2034-GDRCN,Female,0,No,No,2,Yes,No,Fiber optic,No
8966-SNIZF,Female,0,Yes,No,70,Yes,No,No,No internet service
6243-OZGFH,Female,0,No,No,23,No,No phone service,DSL,No
4654-DLAMQ,Female,1,Yes,No,64,Yes,No,Fiber optic,Yes
0513-RBGPE,Male,0,Yes,Yes,37,Yes,Yes,DSL,Yes
5160-UXJED,Male,0,No,Yes,17,Yes,No,DSL,No
4115-NZRKS,Female,1,No,No,7,Yes,No,Fiber optic,No
0219-YTZUE,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No
0623-IIHUG,Female,1,No,No,21,No,No phone service,DSL,Yes
4572-DVCGN,Female,0,No,No,10,Yes,No,Fiber optic,No
3351-NGXYI,Female,1,No,No,16,Yes,Yes,DSL,Yes
8984-EYLLL,Male,0,Yes,No,64,Yes,Yes,Fiber optic,No
9057-MSWCO,Male,1,Yes,No,27,No,No phone service,DSL,Yes
9833-TGFHX,Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes
9294-TDIPC,Male,0,No,Yes,5,Yes,No,No,No internet service
5229-DTFYB,Female,0,No,No,41,Yes,No,Fiber optic,No
0104-PPXDV,Male,0,Yes,No,58,Yes,No,DSL,No
5176-LMJXE,Female,0,No,No,47,Yes,No,No,No internet service
3583-KRKMD,Male,0,No,No,18,Yes,No,Fiber optic,No
1010-DIAUQ,Male,0,No,No,5,Yes,No,Fiber optic,No
9069-LGEUL,Male,0,Yes,No,23,Yes,No,DSL,Yes
7302-ZHMHP,Female,0,No,No,1,Yes,No,No,No internet service
9571-EDEBV,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No
3520-FJGCV,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes
6563-VRERX,Male,0,Yes,Yes,33,Yes,No,No,No internet service
0259-GBZSH,Male,0,No,No,2,Yes,Yes,Fiber optic,No
6122-EFVKN,Male,0,No,Yes,24,No,No phone service,DSL,Yes
2805-EDJPQ,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No
6862-CQUMB,Male,0,No,No,37,Yes,No,Fiber optic,No
7156-MXBJE,Female,0,No,No,43,Yes,Yes,DSL,No
6158-HDPXZ,Male,0,No,No,1,No,No phone service,DSL,No
9601-BRXPO,Female,0,Yes,No,25,Yes,Yes,Fiber optic,No
