Startup,Product,Funding,Event,Result,OperatingState
Breinify,breinify.com,,Disrupt SF 2016,Contestant,Operating
BrightContext,brightcontext.com,,Disrupt SF 2012,Contestant,Acquired
BroadClip,broadclip.com,$8.1M,TC40 2007,Contestant,Closed
BroadPeak Partners,broadpeakpartners.com,,Disrupt NYC 2012,Contestant,Operating
Burt,burtcorp.com,$8.5M,TC50 2008,Contestant,Operating
Buyosphere,buyosphere.com,$325K,Disrupt SF 2010,Contestant,Closed
Buyou,buyouapp.com,$20K,Disrupt NYC 2012,Audience choice,Operating
Cake Financial,cakefinancial.com,,TC40 2007,Contestant,Acquired
Cake Health,cakehealth.com,$150K,Disrupt SF 2011,Finalist,Acquired
CallApp,callapp.com,$5M,Disrupt NYC 2012,Contestant,Operating
"Calliope Waterworks, Inc.",calliopewater.com,$60K,Hardware Battlefield 2016,Contestant,Operating
Carbon Health,carbonhealth.com,$8.8M,Disrupt SF 2016,Finalist,Operating
Carbon Robotics,carbon.ai,$120K,Hardware Battlefield 2016,Finalist,Operating
CardFlick,cardflick.co,,Disrupt SF 2011,Audience choice,Closed
Cardify,cardify.me,,Disrupt NYC 2012,Contestant,Operating
Careticker,careticker.com,,Disrupt SF 2012,Contestant,Operating
CareZapp,carezapp.com,,Disrupt EU 2014,Contestant,Operating
"Caruma Technologies, Inc.",caruma.tech,$2M,Disrupt London 2015,Contestant,Operating
Case,choosecase.com,$2.3M,Disrupt NY 2015,Contestant,Operating
CastTV,casttv.com,$3.1M,TC40 2007,Contestant,Acquired
CatchFree,catchfree.com,$5.5M,Disrupt NYC 2011,Contestant,Closed
Causecast,causecast.com,,TC50 2008,Contestant,Operating
Ceedo Technologies,ceedo.com,$4.5M,TC40 2007,Contestant,Operating
CENTURY Tech,century-techinc.com,$2.2M,Disrupt London 2016,Contestant,Operating
ChompOn,chompon.com,,Disrupt NYC 2010,Contestant,Operating
Chronos Mobile Technologies,chronosmobiletechnologies.com,,Disrupt SF 2012,Contestant,Acquired
Churn Labs,churnlabs.com,,Disrupt NYC 2011,Contestant,Closed
Chyngle,chyngle.com,,TC50 2009,Audience choice,Closed
Cinder,cindercooks.com,$496K,Disrupt SF 2014,Contestant,Operating
CitySourced,citysourced.com,$1.4M,TC50 2009,Finalist,Operating
CLASEMOVIL,clasemovil.com,$350K,TC50 2009,Contestant,Closed
Clickable,clickable.com,$32.5M,TC40 2007,Finalist,Acquired
Clicker,clicker.com,$19M,TC50 2009,Contestant,Acquired
ClientShow,clientshow.com,$750K,TC50 2009,Contestant,Closed
Clixtr,focallabs.com,,TC50 2009,Contestant,Operating
Closet Couture,closetcouture.com,$475K,TC50 2008,Contestant,Closed
Cloudflare,cloudflare.com,$182.1M,Disrupt SF 2010,Runner up,Operating
"Cloudwear, Inc.",cloudwear.com,,Disrupt NY 2015,Finalist,Operating
Cocodot,cocodot.com,$6.7M,TC50 2009,Contestant,Closed
Codeanywhere,codeanywhere.net,$848K,Disrupt NYC 2014,Audience choice,Operating
CodeGuard,codeguard.com,$2M,Disrupt NYC 2011,Audience choice,Operating
Cognitive Code,cognitivecode.com,$1.3M,TC40 2007,Contestant,Operating
Cohero Health,coherohealth.com,$2M,Disrupt SF 2015,Contestant,Operating
Compass Labs,compasslabs.com,$12M,Disrupt NYC 2010,Contestant,Closed
Connective Logic,connectivelogic.co.uk,,TC50 2008,Contestant,Operating
ContainerShip,containership.io,$2.6M,Disrupt NY 2015,Contestant,Operating
CoroNet,coro.net,,Disrupt NY 2015,Contestant,Operating
CosmEthics,cosmethics.com,$411.5K,Disrupt EU 2014,Contestant,Operating
Cosmic,cosmiccart.com,,Disrupt NYC 2014,Contestant,Acquired
CPUsage,cpusage.com,$925K,Disrupt SF 2013,Contestant,Closed
Crate.io,crate.io,$8.1M,Disrupt EU 2014,Winner,Operating
Credit Sesame,creditsesame.com,$35.4M,Disrupt SF 2010,Contestant,Operating
Crowd Fusion,crowdfusion.com,$3M,TC50 2009,Contestant,Operating
CrowdFlower Inc.,crowdflower.com,$38M,TC50 2009,Contestant,Operating
CrowdSpirit,crowdspirit.com,,TC40 2007,Contestant,Closed
Cubic Telecom,cubictelecom.com,$37.1M,TC40 2007,Contestant,Operating
CUJO,getcujo.com,,Disrupt NY 2016,Contestant,Operating
Curiator,curiator.com,,Disrupt SF 2013,Contestant,Acquired
Current Labs,currentlabs.io,,Hardware Battlefield 2015,Contestant,Operating
Cyfeon Solutions,cyfeon.com,,Disrupt NYC 2012,Contestant,Operating
DataFox,datafox.com,$6.8M,Disrupt SF 2014,Contestant,Operating
DataSift,datasift.com,$72M,Disrupt SF 2010,Finalist,Operating
DataXu,dataxu.com,$64M,TC50 2009,Contestant,Operating
Deja,deja.com,$12.5M,Disrupt NYC 2011,Contestant,Acquired
Desmos,desmos.com,$900K,Disrupt NYC 2011,Contestant,Operating
Devunity,devunity.com,$100K,TC50 2008,Contestant,Operating
DigitalGenius,digitalgenius.com,$7.3M,Disrupt NY 2015,Runner up,Operating
Discovr Labs,discovrlearning.com,$100K,Disrupt SF 2015,Contestant,Operating
Disease Diagnostic Group,diseasediagnostic.com,$1.3M,Disrupt EU 2014,Runner up,Operating
Dispatch,dispatch.com,$983K,Disrupt SF 2012,Contestant,Acquired
DocSend,docsend.com,$9.7M,Disrupt NYC 2014,Contestant,Operating
Docstoc,docstoc.com,$4M,TC40 2007,Contestant,Closed
Docurated,docurated.com,$5.4M,Disrupt NYC 2013,Contestant,Operating
Donay,donay.com,$160K,Disrupt NYC 2013,Contestant,Closed
Donde,donde.io,,Disrupt SF 2014,Audience choice,Operating
DotSpots,dotspots.com,$300K,TC50 2008,Contestant,Closed
"Driblet Labs, LLC",driblet.io,$20K,Hardware Battlefield 2014,Contestant,Operating
Dropbox,dropbox.com,$1.7B,TC50 2008,Contestant,Operating
Dryft,dryft.com,,Disrupt SF 2013,Finalist,Acquired
Dynosense,dynosense.com,$10.1M,Disrupt SF 2014,Contestant,Operating
EasyPaint,easypaint.com,$485K,Disrupt SF 2015,Contestant,Operating
EatWith,eatwith.com,$8M,Disrupt NYC 2013,Contestant,Operating
Edyn,edyn.com,$3M,Disrupt SF 2013,Finalist,Operating
eGood,egood.com,$3M,Disrupt SF 2013,Audience choice,Operating
Elemental Path,elementalpath.com,$4.3M,Hardware Battlefield 2016,Contestant,Operating
Emburse,emburse.com,$120K,Disrupt SF 2015,Contestant,Operating
Emerginvest,emergevest.com,,TC50 2008,Contestant,Closed
Emotech LTD,emotech.co,$10M,Disrupt London 2015,Contestant,Operating
EnergyElephant,energyelephant.com,,Disrupt London 2015,Contestant,Operating
Enigma,enigma.io,$34.6M,Disrupt NYC 2013,Winner,Operating
Evercam,evercam.io,$1M,Disrupt NYC 2014,Contestant,Operating
Evergage,evergage.com,$16.3M,Disrupt NYC 2012,Finalist,Operating
EverlyWell,everlywell.com,$5M,Disrupt SF 2016,Finalist,Operating
Everpix,everpix.com,$2.4M,Disrupt SF 2011,Contestant,Closed
EveryLayer,everylayer.com,$650K,Disrupt NY 2015,Contestant,Operating
EverythingMe,everything.me,$35.5M,Disrupt NYC 2011,Contestant,Closed
exchangeP,exchangep.com,,TC50 2008,Contestant,Closed
Expect Labs,mindmeld.com,$15.4M,Disrupt SF 2012,Finalist,Operating
Extreme Reality,xtr3d.com,$18.2M,TC40 2007,Contestant,Operating
Exversion,exversion.com,,Disrupt EU 2013,Contestant,Operating
FairFleet,fairfleet360.com,,Disrupt London 2015,Contestant,Operating
FairSoftware,fairsoftware.com,$100K,TC50 2008,Contestant,Closed
Famo.us,famo.us,$30.1M,Disrupt SF 2012,Contestant,Operating
Farmigo,farmigo.com,$26M,Disrupt SF 2011,Finalist,Operating
FAROO,faroo.com,,TC40 2007,Contestant,Operating
Feed.fm,feed.fm,$1.2M,Disrupt SF 2013,Contestant,Operating
Fetch,buywithfetch.com,$2.3M,Disrupt NYC 2014,Contestant,Closed
Fidesmo,fidesmo.com,$790.6K,Disrupt NYC 2014,Contestant,Operating
Filter.ly,filter.ly,,Disrupt SF 2015,Contestant,Operating
FishingBooker,fishingbooker.com,$60K,Disrupt SF 2014,Audience choice,Operating
Fit Analytics,fitanalytics.com,,Disrupt Beijing 2011,Contestant,Operating
Fitbit,fitbit.com,$66M,TC50 2008,Finalist,Ipo
FITIQUETTE,fitiquette.com,,Disrupt SF 2012,Contestant,Acquired
Fleet,tryfleet.com,$6.5M,Disrupt SF 2014,Runner up,Operating
Flock,flock.com,$28.3M,TC40 2007,Contestant,Acquired
Floored,floored.com,$6.4M,Disrupt NYC 2013,Finalist,Acquired
FlowPlay,flowplay.com,$8.2M,TC40 2007,Contestant,Operating
Fluid HTML,fluidhtml.com,,TC50 2009,Contestant,Closed
Fluidinfo,fluidinfo.com,$1.7M,Disrupt NYC 2010,Contestant,Operating
Fog Creek Software,fogcreek.com,,Disrupt SF 2011,Contestant,Operating
Fogo Digital,fogo.io,,Hardware Battlefield 2015,Finalist,Operating
FoodStantly,foodstantly.com,$5K,Disrupt London 2016,Contestant,Operating
Footnote,footnote.com,$10M,TC50 2008,Contestant,Operating
Force Impact Technologies,fitguard.me,$310.5K,Hardware Battlefield 2016,Contestant,Operating
Foretuit,foretuit.com,,Disrupt NYC 2011,Contestant,Operating
Fotonauts,fotopedia.com,,TC50 2008,Contestant,Operating
FOVE,getfove.com,$11.3M,Disrupt SF 2014,Contestant,Operating
FUSAR,fusar.com,$3.8M,Hardware Battlefield 2016,Contestant,Operating
GameCrush,gamecrush.com,$700K,Disrupt SF 2010,Finalist,Closed
GazoPa,gazopa.com,,TC50 2008,Contestant,Closed
Gem,gem.co,$12.5M,Disrupt SF 2014,Contestant,Operating
Geotoko,geotoko.com,,Disrupt NYC 2010,Contestant,Acquired
Getaround,getaround.com,$103M,Disrupt NYC 2011,Winner,Operating
Gifi,gifi.fr,$1.2M,Disrupt SF 2010,Contestant,Closed
Giftbit,giftbit.com,$1.9M,Disrupt SF 2016,Contestant,Operating
giftgaming,giftgaming.com,$334.6K,Disrupt EU 2014,Contestant,Operating
Gild,gild.com,$25.9M,Disrupt SF 2010,Contestant,Acquired
Glance Clock,glanceclock.com,$755.9K,Hardware Battlefield 2016,Contestant,Operating
Glide,glide.me,$36.5M,Disrupt NYC 2013,Audience choice,Operating
Glide Health,glidehealth.us,$1M,TC50 2009,Contestant,Closed
Glider,glider.com,$1.4M,Disrupt NYC 2013,Contestant,Acquired
GoInstant,goinstant.com,$1.7M,Disrupt SF 2011,Contestant,Acquired
GoodGuide,goodguide.com,$14.2M,TC50 2008,Finalist,Acquired
GoPlanit,goplanit.com,$500K,TC50 2008,Contestant,Operating
GotStatus,gotstat.us,,TC40 2007,Contestant,Closed
GradFly,gradfly.co,$191.5K,Disrupt NYC 2013,Contestant,Closed
Green Bits,greenbits.com,,Disrupt SF 2015,Runner up,Operating
Gripe,gri.pe,,Disrupt SF 2010,Contestant,Closed
Grockit,grockit.com,$44.7M,TC50 2008,Finalist,Acquired
Grow the Planet,growtheplanet.com,$566.1K,Disrupt SF 2011,Contestant,Operating
gulu.com,gulu.com,$300K,Disrupt Beijing 2011,Contestant,Closed
GunZoo.com,gunzoo.com,,Disrupt SF 2010,Contestant,Operating
Gyft,gyft.com,$6.3M,Disrupt SF 2012,Finalist,Acquired
H2L,h2l.com,,Disrupt SF 2015,Contestant,Operating
HackerRank,hackerrank.com,$24.2M,Disrupt SF 2012,Contestant,Operating
Halo Neuroscience,haloneuro.com,$10.7M,Disrupt NY 2016,Contestant,Operating
Hammer & Chisel,discordapp.com,,Disrupt SF 2013,Finalist,Operating
Hamwells,hamwells.com,$1.3M,Disrupt London 2015,Contestant,Operating
Handle,handle.com,$22M,Disrupt NYC 2013,Runner up,Operating
Hangout Industries,hangout.net,$12M,TC50 2008,Contestant,Operating
Happy Toy Machine,happytoymachine.com,,Disrupt NYC 2011,Audience choice,Operating
Hark,hark.com,$5M,TC50 2009,Contestant,Operating
Health2Sync,health2sync.com,$4.5M,Hardware Battlefield 2014,Contestant,Operating
HealthCrew,healthcrew.me,,Disrupt NYC 2014,Contestant,Operating
HealthyOut,healthyout.com,$1.2M,Disrupt NYC 2013,Finalist,Acquired
HealthyWage,healthywage.com,,TC50 2009,Contestant,Operating
Heatworks Technology,myheatworks.com,$7.2M,Disrupt NYC 2014,Runner up,Operating
Hello Alfred,helloalfred.com,$12.5M,Disrupt SF 2014,Winner,Operating
High Mobility,high-mobility.com,$1.1M,Disrupt EU 2013,Contestant,Operating
Hmmm,hmmmapp.com,,Disrupt NYC 2012,Contestant,Operating
HomeMe,homemeapp.com,$3.2M,Disrupt NY 2016,Contestant,Operating
HouseFix,housefix.com,$150K,Disrupt SF 2011,Contestant,Closed
HowFactory,howfactory.com,$195K,Disrupt NY 2015,Contestant,Operating
hownow,learnhownow.com,,Disrupt NYC 2012,Contestant,Closed
Humon,humon.io,$1M,Disrupt SF 2015,Contestant,Operating
HuoHua Mobile,huohua.co,,Disrupt Beijing 2011,Contestant,Closed
IAMNEWS,iamnews.com,,TC50 2008,Audience choice,Closed
iCharts,icharts.net,$16.3M,TC50 2008,Contestant,Operating
Idle Gaming,idle-gaming.com,$14.1M,Disrupt SF 2011,Contestant,Operating
Imindi,imindi.com,$500K,TC50 2008,Contestant,Closed
IMO,,,TC50 2009,Contestant,Operating
import.io,import.io,$18.2M,Disrupt EU 2013,Finalist,Operating
ImpulseSave,impulsesave.com,$50K,Disrupt SF 2012,Contestant,Acquired
Incident Technologies,incidentgtar.com,$745K,Disrupt NYC 2012,Runner up,Operating
inMarket,inmarket.com,$2M,Disrupt SF 2010,Contestant,Operating
INRFOOD,inrfood.com,$457K,Disrupt SF 2012,Contestant,Operating
Insensi,ily.co,$3M,Hardware Battlefield 2016,Contestant,Acquired
InsideDNA,insidedna.me,,Disrupt London 2016,Runner up,Operating
InsideMaps,insidemaps.com,,Disrupt SF 2013,Contestant,Operating
Instant API Inc.,instantapi.com,$355K,Disrupt EU 2014,Contestant,Operating
Insttant,insttant.com,,TC50 2009,Contestant,Operating
Integreight,integreight.com,,Disrupt EU 2013,Audience choice,Operating
Intelligent Flying Machines,ifm-tech.com,,Disrupt SF 2016,Contestant,Operating
InvoiceASAP,invoiceasap.com,$696.3K,Disrupt NYC 2011,Audience choice,Operating
Ionic Security,ionicsecurity.com,$122.4M,Disrupt SF 2012,Contestant,Operating
Iris AI,iris.ai,$421.6K,Disrupt London 2016,Contestant,Operating
IsItYou,isityou.biz,$1M,Disrupt SF 2014,Contestant,Operating
iThryv,ithryv.com,,TC50 2008,Contestant,Operating
iTwin,itwin.com,$1.3M,TC50 2009,Contestant,Acquired
IZEA,izea.com,$34.9M,Disrupt NYC 2010,Contestant,Ipo
Japet Medical Devices,japet.eu,,-,Contestant,Operating
Jewelbots,jewelbots.com,$1.2M,Hardware Battlefield 2016,Contestant,Operating
Jiff,jiff.com,$67.8M,Disrupt SF 2011,Contestant,Acquired
Jukedeck,jukedeck.com,$3.8M,Disrupt London 2015,Winner,Operating
JumpCloud,jumpcloud.com,$11.7M,Disrupt SF 2013,Contestant,Operating
Kaltura,kaltura.com,$166.1M,TC40 2007,Audience choice,Operating
Karizma,karizma.im,,Disrupt NYC 2011,Contestant,Closed
Katalyst Network,katalystng.com,$10M,TC50 2008,Contestant,Closed
Keen Home,keenhome.io,$1.6M,Disrupt NYC 2013,Contestant,Operating
keenkong,,,Disrupt NYC 2010,Contestant,Operating
Kerpoof,kerpoof.com,,TC40 2007,Contestant,Acquired
Kinobi,kinobi.co,,Disrupt SF 2012,Contestant,Closed
Kisi,getkisi.com,$1.6M,Disrupt NYC 2013,Contestant,Operating
KIWI,kiwi.ki,$4.4M,Disrupt EU 2013,Contestant,Operating
Kloudless,kloudless.com,$1.3M,Disrupt NYC 2013,Contestant,Operating
Knocki,knocki.com,$1.9M,-,Audience choice,Operating
Koality,koalitycode.com,$1.8M,Disrupt SF 2013,Contestant,Acquired
Koemei,koemei.com,$1.3M,Disrupt NYC 2012,Contestant,Operating
Kohort,kohort.com,$3M,Disrupt NYC 2011,Contestant,Closed
Koto Labs,koto.io,$717K,Hardware Battlefield 2014,Winner,Operating
KurbKarma,kurbkarma.com,,Disrupt NYC 2012,Contestant,Operating
Kurbo Health,kurbo.com,$5.8M,Disrupt NYC 2014,Contestant,Operating
Kwoller,kwoller.com,,Disrupt NYC 2014,Contestant,Operating
lark,lark.com,$4.1M,Disrupt SF 2010,Contestant,Operating
Laugh Radio,laughradio.com,,Disrupt NY 2016,Audience choice,Operating
Layer,layer.com,$42.1M,Disrupt SF 2013,Winner,Operating
Leaf,getleaf.co,$2M,Disrupt SF 2015,Contestant,Operating
Leapfin,leapfin.com,$1M,Disrupt SF 2015,Finalist,Operating
LearnVest,learnvest.com,$69M,TC50 2009,Contestant,Acquired
Levebee,levebee.com,,Disrupt EU 2014,Contestant,Operating
LiftIgniter,liftigniter.com,$50K,Disrupt London 2016,Finalist,Operating
Liquidity Nanotech Corporation,liquico.com,$10.6M,Disrupt NY 2015,Winner,Operating
Lissn,lissn.in,,TC50 2009,Contestant,Closed
Lit Motors,litmotors.com,$2.2M,Disrupt SF 2012,Runner up,Operating
Live Matrix,livematrix.com,,Disrupt NYC 2010,Contestant,Acquired
LiveHit,livehit.com,,TC50 2008,Contestant,Operating
LiveIntent,liveintent.com,$65.1M,Disrupt NYC 2010,Audience choice,Operating
Livemap,livemap.info,$1.3M,Hardware Battlefield 2014,Contestant,Operating
Livestar,livestar.com,$2M,Disrupt SF 2012,Contestant,Acquired
Lobster,lobster.media,$2M,Disrupt EU 2014,Contestant,Operating
localbacon,jibe.com,$875K,TC50 2009,Contestant,Closed
LocalHero Inc.,,,Disrupt SF 2011,Contestant,Operating
Locality,locality.com,$6.7M,Disrupt NYC 2012,Contestant,Operating
Lock8,lock8.me,,Disrupt EU 2013,Winner,Operating
LookSee Labs Inc,lookseelabs.com,,Hardware Battlefield 2015,Finalist,Operating
LUCY,startwithlucy.com,$2.3M,Disrupt SF 2016,Audience choice,Operating
Lumenus,lumenus.com,$250K,Disrupt NY 2016,Contestant,Operating
Lumier,lumier.com,$350K,Disrupt NYC 2011,Contestant,Operating
Lystable,lystable.com,$25.1M,Disrupt London 2015,Finalist,Operating
LyteShot,lyteshot.com,$635K,Hardware Battlefield 2015,Contestant,Operating
Madbrook,everythingbuttart.com,,Disrupt NYC 2011,Contestant,Operating
MailTime,mailtime.com,$3.2M,Disrupt SF 2014,Contestant,Operating
Mainframe,mainframe.co,$300K,Disrupt London 2015,Contestant,Operating
Maluuba,maluuba.com,$9.2M,Disrupt SF 2012,Contestant,Acquired
Matibabu,thinkitlimited.com,,-,Contestant,Operating
MAX - Metro Africa Express,max.ng,$1.1M,Disrupt London 2015,Runner up,Operating
Me-trics,me-trics.com,,TC50 2008,Contestant,Closed
"MedRepublic, Inc",medrepublic.com,$800K,Disrupt SF 2016,Contestant,Operating
Meexo,meexo.com,,Disrupt SF 2011,Contestant,Acquired
mEgo,mego.com,$7.3M,TC40 2007,Contestant,Closed
Meporter,meporter.com,,Disrupt NYC 2011,Contestant,Operating
Meritful,meritful.com,,Disrupt NYC 2013,Contestant,Operating
Metaplace,metaplace.com,$9.4M,TC40 2007,Contestant,Acquired
Metricly,metricly.com,,TC50 2009,Contestant,Closed
mFluiDx,mfluidx.com,,Disrupt SF 2016,Contestant,Operating
MicroBlink,microblink.com,,Disrupt EU 2014,Finalist,Operating
Mimi Hearing Technologies GmbH,mimi.io,,Disrupt NYC 2014,Finalist,Operating
Mink,gracemink.com,,Disrupt NYC 2014,Contestant,Operating
Minor Studios,minorstudios.com,,TC50 2008,Finalist,Closed
Mint,mint.com,$31.8M,TC40 2007,Winner,Acquired
Mirth Corp,mirth.com,,Disrupt NYC 2012,Contestant,Operating
Miso Media,misomedia.com,$3M,Disrupt SF 2010,Audience choice,Closed
MIXTT,mixtt.com,,TC50 2008,Contestant,Closed
Mob.ly,mob.ly,$900K,TC50 2008,Contestant,Acquired
Mobalytics,mobalyticshq.com,$2.6M,Disrupt SF 2016,Winner,Operating
Mobclix,mobclix.com,,TC50 2008,Contestant,Acquired
MobilePayUSA,mobilepayusa.com,,Disrupt SF 2010,Audience choice,Closed
Modbot,modbot.com,$4M,Hardware Battlefield 2014,Contestant,Operating
Moglue,moglue.com,$1.2M,Disrupt Beijing 2011,Finalist,Closed
Money Intel,moneyintel.com,,Disrupt SF 2015,Contestant,Operating
Monsieur,monsieur.co,$3.3M,Disrupt SF 2013,Contestant,Operating
MOTA Motors,mota.com,$9.5M,TC50 2009,Contestant,Operating
MotherKnows,,,Disrupt NYC 2011,Contestant,Operating
Movebubble,movebubble.com,$3.1M,Disrupt London 2015,Contestant,Operating
Munro Electric Vehicle,munromotor.com/,,-,Contestant,Operating
Musicshake,musicshake.com,$3.5M,TC40 2007,Contestant,Operating
myki,myki.co,$1.2M,Disrupt SF 2016,Contestant,Operating
myLanguage,myLanguage.me,$50K,Disrupt SF 2011,Contestant,Operating
mySkin,myskin.com,$275K,Disrupt EU 2013,Contestant,Operating
Mytopia,mytopia.com,$3.5M,TC50 2008,Contestant,Acquired
NapTime,naptime.technology,,Hardware Battlefield 2015,Contestant,Operating
Nativetap.io,nativetap.io,$100K,Disrupt NY 2015,Contestant,Operating
NetPlenish,shopgeniusapp.com,$1.9M,Disrupt SF 2012,Audience choice,Operating
Next Caller,nextcaller.com,,Disrupt SF 2013,Contestant,Operating
NextGoals,nextgoals.com,,Disrupt Beijing 2011,Contestant,Operating
Neyya,myneyya.com,$2.2M,Hardware Battlefield 2014,Contestant,Operating
Nikola Labs,nikola.tech,$2.8M,Disrupt NY 2015,Contestant,Operating
Nima,nimasensor.com,$13.2M,Hardware Battlefield 2016,Winner,Operating
NimbusBase,nimbusbase.com,$275K,Disrupt NYC 2013,Contestant,Operating
NoiseToys,noisetoys.com,$1.4M,Disrupt NYC 2010,Contestant,Operating
Notivo,notivo.com,,Disrupt NYC 2014,Contestant,Operating
Nucleus Scientific,nucleusscientific.com,,Disrupt NY 2015,Finalist,Operating
